county	city
0	0
1	0,5,49,94,156,173,197,228,303,370,382,428,490,491
2	253,256,418,419,429,555
3	0,56,98,215,321,396
4	0,15,16,24,347,363,474,587
5	0,115,216,613
6	0,19,40,66,106,119,137,165,328,383,422,427,454,464,496,498,594
7	0,129
8	116
9	0,80,81,120,148,166,204,214,425,432,452,525,539
10	0,55,85,92,109,111,140,187,196,199,244,262,266,292,336,389,409,451,461,485,499,520,570
11	0,171,223,393,616
12	0,23,41,58,179,186,333,392,394,456,473,514,571,615
13	0,64,75,77,164,230,239,247,372,607
14	0,57
15	0,35,62,73,143,162,263,316,325,332,334,455,522,556,558,596
16	0,32,224,296
17	0,107,236,260,285,317,340,582
18	0,52,154,232,554,608
19	0,2,4,6,10,22,26,31,33,36,46,51,70,74,91,93,97,104,105,117,118,128,132,142,147,153,155,159,168,170,203,206,207,221,225,226,233,243,251,252,267,269,271,273,275,284,287,288,293,297,298,302,307,309,313,319,323,348,353,356,377,403,406,407,408,410,417,433,442,448,466,467,469,481,482,483,503,505,507,526,527,537,538,540,548,560,567,593,595,602,603,605,611
20	0,101,320
21	0,60,261,290,342,378,431,475,497,513
22	0,268,327
23	0,191,430,450,580,614
24	0,29,37,144,220,294,304,314,339,426,536,620
25	0,11
26	0,322
27	0,88,141,209,213,265,326,355,398,400,472,518,530,542,599
28	0,12,17,78,365,544,545
29	0,212,368,413,573,597
30	0,7,13,65,69,124,126,134,136,195,200,202,242,254,269,272,276,277,278,279,280,283,341,345,371,376,388,424,444,479,489,500,516,547,568,577,590,606,625
31	0,30,112,211,299,310,463,468,557
32	0,437,608
33	0,38,44,50,59,76,95,110,122,146,161,231,245,249,250,259,274,282,335,337,358,364,373,401,402,414,441,462,484,559,563,566,612,617
34	0,18,89,103,172,181,188,201,255,330,375,390,439,457,471
35	0,238,488
36	0,1,3,20,34,39,53,54,99,100,114,130,167,189,192,210,234,237,281,306,351,367,379,387,395,416,440,447,453,470,476,517,578,579,581,589,623,628,629,630
37	0,9,61,83,87,102,123,139,163,174,176,183,248,258,270,286,295,366,384,436,438,443,480,493,511,529,543,586,592
38	521
39	0,175,198,291,300,305,324,459,549,564,569
40	0,25,27,42,169,218,360,411,421,492,495,523,561
41	0,28,47,67,71,113,135,160,194,222,338,343,350,374,399,449,477,478,494,541
42	0,68,90,208,219,308,354,369,391,501,506,510,531,552,584
43	0,82,133,205,311,312,315,344,352,359,362,404,486,487,502,512,546,553
44	0,21,63,86,185,504,515,535,599
45	0
46	521
47	0,14,45,72,127,246,405,446,524,610
48	0,318
49	0,151,157,178,193,240,331,349,361,575,601,626
50	0,48,150,182,458,551,583,585
51	0,108,125,190,229,289,415,465,509,519,533,618
52	0,96,131,145,235,241,264,346,381,412,460,576,598
53	0,627
54	0,121,445
55	0,152,227,572,600
56	0
57	0,8,143,149,158,180,184,301,423,435,550,562,574,591,621
58	0,217,257,268,534
59	0,79,357,380,385,397,420,434,508,528,532,565,588
60	0,138,177,604,619,622,624
61	0,43,84,329,386,609
