county	district
0	0,6,7,8,64,105,106,124,200,206,223,259,306,409,473,516,519,537,583,598,609,681,682,787
1	20,21,102
2	46,73,96,139,204,242,283,293,553,554,563,571,609,806
3	86,102,103,185,446,840
4	161,450,584,608,780,878
5	2,28,85,99,164,165,337,364,371,401,448,489,502,538,550,588,609,695,852,862
6	184,186
7	609
8	75,90,111,212,213,214,281,282,378,494,593,602,609,625
9	18,67,120,129,149,151,246,256,263,264,284,341,346,355,358,359,390,458,544,573,585,609,610,636,697,734,777,856,864,869
10	279,280,299,551,780,880
11	31,68,77,178,232,243,244,253,254,262,271,322,325,332,362,412,454,528,549,560,577,609,631,729,763,770,815
12	82,83,104,108,131,150,211,308,317,327,451,456,609,733,868
13	70,74,330,414,555
14	35,41,54,61,98,187,188,210,219,221,236,265,274,290,347,348,349,350,351,352,380,383,405,429,440,441,453,455,467,477,505,524,569,570,609,628,643,726,735,745,771,774,794,795,799,849,854,855,864
15	33,130,166,300,301,356,357,361,397,398,587,624
16	342,365,375,376,379,431,466,609,836
17	72,252,388,389,613,789,871
18	1,4,9,14,26,27,30,39,42,51,59,66,79,93,122,127,136,147,162,173,175,197,199,207,209,215,216,217,218,272,277,278,298,304,305,311,329,345,360,366,367,384,387,391,392,399,406,415,418,419,420,421,422,427,430,434,438,479,483,498,521,529,565,568,572,574,603,609,620,621,645,650,660,675,686,710,718,722,723,725,727,738,766,768,769,782,798,803,808,814,838,839,853,863,870,875,876,877,882,886
19	50,141,142,285,435,609,616
20	78,193,343,374,385,442,443,468,530,609,623,648,649,693,694,719,744,797
21	444,445,609
22	32,251,393,457,601,609,832,879
23	37,45,189,195,270,297,315,394,395,410,423,461,462,463,594,609,860,885
24	476,788
25	208,437,478
26	10,34,71,118,143,287,291,354,373,472,485,486,527,559,562,609,658,659,661,701,712,754,765,772,857
27	102,195,214,247,252,609,664,758,792,844
28	109,507,508,509,604,609,656
29	138,289,513,514,515,578,595,796,829,834
30	22,23,84,92,115,132,180,207,211,255,266,267,270,323,324,328,331,368,372,417,430,436,523,527,539,545,546,590,609,653,654,655,698,720,764,809,826,867
31	3,16,38,126,154,198,233,249,416,514,520,591,592,609,641,646,647,796,866
32	600
33	19,47,55,107,150,169,191,270,310,340,377,459,491,506,531,564,567,579,580,609,637,638,639,642,676,724,802,838,897
34	126,198,220,222,247,268,269,511,609,634,640,647,651,652,680,725,830,856
35	34,145,316,525,662,663,813
36	5,14,29,40,43,49,53,128,134,135,140,156,157,174,231,248,309,312,493,498,501,512,543,552,609,620,626,629,664,665,666,747,751,818,835,847,848,852,897
37	13,80,81,101,116,117,118,144,170,182,183,225,228,229,239,240,294,334,338,339,370,381,396,421,496,510,540,607,609,611,612,668,669,670,671,672,673,685,692,696,716,721,728,752,762,763,792,841,843,851
38	609,674,737
39	48,227,335,382,402,403,411,439,517,518,609,633,677,678,778,810
40	36,76,125,152,432,575,609,683,684,691,739,804
41	52,60,88,94,100,314,335,336,369,386,460,469,470,561,606,609,614,615,622,667,668,687,688,689,690,736,767,889
42	44,76,91,119,153,155,179,286,295,318,413,428,484,548,609,699,700,707,708,709,715,755
43	17,65,110,112,113,176,206,234,258,260,276,418,424,425,433,465,471,490,492,495,497,499,500,532,547,566,609,679,701,702,703,717,728,786,833
44	407,558,562,609,683,704,705,706,707,731,760
45	391
46	609,674,737
47	24,56,121,123,158,172,226,238,261,273,288,303,326,526,609,619,740,741,742,743,874
48	746
49	97,202,203,292,302,319,452,481,503,510,730,749,750,822,861,893,894
50	62,194,237,609,634,753,812,837,842
51	58,63,146,148,171,250,275,296,307,344,447,482,487,533,542,581,582,586,609,630,644,712,713,714,732,744,757,828,831,843,859,865,881,883,891
52	133,137,190,224,313,321,353,363,474,475,498,522,536,576,609,635,657,775,776,793,825,858
53	89,257,408,609,790,791,895
54	25,167,168,426,617,618,800,801
55	196,400,497,609,816,817
56	370,609
57	11,12,15,95,160,177,187,192,201,205,235,241,347,404,480,535,589,597,605,609,627,773,779,781,785,805,807,811,819,820,821,850,887,890
58	57,69,102,159,333,609,758,759,761,783,784,823,824,827
59	87,163,245,320,464,488,504,534,539,541,556,557,596,609,632,711,748,756,844,845,846
60	181,230,856,884,888,892
61	114,449,599,872,873,896
